period,start_date,end_date,observations,baseline_ann_return,baseline_cumulative_return,baseline_max_drawdown,baseline_worst_12m,market_ann_return,market_cumulative_return,market_max_drawdown,large_ann_return,large_cumulative_return,large_max_drawdown,size_10_50_ann_return,size_10_50_cumulative_return,core_p10_20_ann_return,size_minus_large_ann_spread,core_minus_large_ann_spread,baseline_minus_market_daily_sum,baseline_minus_size_10_50_daily_sum,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,forced_state_pnl,forced_loss_share_when_losing,buy_fail_rate,sell_fail_rate,sell_fail_no_bar_rate,sell_fail_events,suspended_position_days,avg_suspended_positions,max_suspended_positions,median_amount_20d,median_float_mcap,rebalance_count,top10_loss_share,top5_loss_share,worst_code,worst_code_contribution
full_sample,2005-01-01,2025-12-31,5101,0.3072190705431266,80.1941667597952,-0.6696619614956735,-0.5935958099734022,0.3108215021774696,78.83011672952183,-0.6963014943956549,0.16375435425969398,7.800824701138623,-0.7305783656926939,0.30102790054123996,65.81754138483394,0.37061975156192073,0.11803251848868501,0.17787289150061758,-0.05576587215866144,0.09619826090636237,0.3902604198308492,0.09653391966847392,5.066103987002962,-0.16411857246528505,0.03699379302419907,-0.12712477944108597,,0.02908157810328237,0.1182996269389358,0.7551867219917012,1205,20761,4.069986277200549,58,34549557.8875,1298140871.0700002,251,0.05487943252744171,0.03275429156679683,002070,-0.017419988741910683
max_drawdown_window,2008-01-15,2008-11-04,196,-0.7143287713598142,-0.6652254286359331,-0.6696619614956733,,-0.7308710617627674,-0.6843870448173286,-0.6933132720532552,-0.7735336193181115,-0.7211791913783548,-0.7252356952028345,-0.7331631319270868,-0.6881414001039257,-0.7089512548262159,0.17712775824260785,0.2832817884482475,0.0461596677708659,0.0527774057287569,-0.013587177367000648,-0.013218019293259605,-0.8727757687099538,-0.04136331794295078,-0.03112562442094023,-0.072488942363891,0.07457173788340257,0.02867383512544803,0.20058997050147492,0.6323529411764706,68,1043,5.321428571428571,17,15083599.08625,725861085.7874999,10,0.12303651850550473,0.0661139074672453,000923,-0.015131898771708611
worst_12m_window,2007-10-17,2008-10-27,252,-0.5352901600337425,-0.5935958099734022,-0.6587923952354414,-0.5935958099734022,-0.5520550548447003,-0.6132049706405762,-0.6850386329460225,-0.6394227882263168,-0.6852788577826461,-0.7164638484308161,-0.5507545582094706,-0.6144943350285458,-0.5225728127200422,0.24480075976662619,0.32256393667472794,0.03662863894648169,0.033738801662246715,-0.008082791586363575,-0.012619423143668401,-0.6797299017590972,-0.036935758015373035,-0.027810135589607213,-0.06474589360498025,0.08461546561827768,0.03225806451612903,0.19117647058823528,0.7051282051282052,78,1371,5.440476190476191,17,18835064.165625002,847372727.9,12,0.1302604501514085,0.0694386574967185,000791,-0.013601374925342871
ex_2008,2005-01-01,2025-12-31,4855,0.36007563146069455,154.89096292226276,-0.5674669462437442,-0.4531635687626596,0.36891977719169655,165.41450789529955,-0.579598123281479,0.22457715448841098,22.524067947264317,-0.677592894808612,0.35988997086843444,142.50818012261408,0.4288103545316011,0.11059117681157504,0.1669232593809178,-0.1250284629166412,0.0026333276798030103,0.38177131826341015,0.1079201436255716,5.494280224033618,-0.1190149748869912,0.06369276070875707,-0.05532221417823413,,0.028504880212954747,0.1156636354347604,0.7623674911660777,1132,19609,4.038928939237899,58,34899735.9995,1323779711.65,239,0.053338978538193214,0.029881331620766255,300028,-0.015405365258170519
2008,2008-01-01,2008-12-31,246,-0.40289866430554544,-0.47916052837338396,-0.6696619614956729,,-0.443882529850923,-0.5202935264529531,-0.6963014943956551,-0.5750939466304321,-0.6258799829660406,-0.7305783656926941,-0.45758836030126204,-0.5343990751764482,-0.3975441340406042,0.27548903108143796,0.41618029369481935,0.06926259075798,0.09356493322655929,0.008489101567438985,-0.011386223957097668,-0.428176237030656,-0.04510359757829374,-0.026698967684557998,-0.07180256526285174,0.14278385927520887,0.04451038575667656,0.18295739348370926,0.6438356164383562,73,1152,4.682926829268292,17,15083599.08625,725861085.7874999,12,0.14172542131489643,0.07797551279983364,000923,-0.01412149493175455
2016-2018,2016-01-01,2018-12-31,731,-0.15782751758811864,-0.4629698945256453,-0.5674669462437437,-0.4531635687626596,-0.12630674848939483,-0.40315987041248436,-0.5417426924361319,-0.15258544893828763,-0.43314261270604026,-0.4687467958703788,-0.14023785139092393,-0.42791619894336563,-0.11144349132987641,0.014561266663559502,0.04851733240651668,-0.10652335381131514,-0.05992372503037612,-0.014714133629274468,0.003270727837602171,-0.3078398817829383,-0.18748257900404172,0.008665052010596922,-0.1788175269934448,0.35899866405260206,0.027673896783844427,0.1801007556675063,0.7937062937062938,286,4633,6.3378932968536255,16,51064195.475,2103104689.2475,36,0.08407428633882207,0.04884986957090212,300028,-0.014823367594917716
2022-2025,2022-01-01,2025-12-31,969,0.24660303630996427,0.9515720625009496,-0.43944585907514333,-0.3397737548347386,0.2139456043426622,0.8161354460485122,-0.3777705499094973,0.05674279517894765,0.12555425341910653,-0.35171477127409023,0.22643454639189287,0.8776864546246494,0.3119023427462364,0.16061783991966316,0.24151730654052428,0.10216115878582252,0.06277277747836002,0.02526018399616549,0.09532371122493045,0.7308082087805474,-0.012747501648596437,0.00930234179681919,-0.0034451598517772474,,0.01607142857142857,0.0103463787674314,0.30434782608695654,23,138,0.14241486068111456,2,43229983.537,1590088025.1525,48,0.1123626208284149,0.06316081810596978,301046,-0.009232183628499833
2005-2013,2005-01-01,2013-12-31,2182,0.3674057242090205,7.926239131919587,-0.6696619614956735,-0.5935958099734022,0.38894277412376765,8.978243216126131,-0.6963014943956549,0.2353187436883617,2.8670505671821114,-0.7305783656926939,0.3698361983879612,7.710974782125488,0.42868323777149775,0.10898905540836035,0.15667111161283742,-0.13548707569422047,-0.015395824419279808,0.1740064312745714,-0.017827487261535678,2.6087754373120915,9.197687294038026e-05,-0.05391420787110562,-0.05382223099816524,,0.036886527039699905,0.12810763381105586,0.7899543378995434,438,8824,4.043996333638863,19,22528333.8335,759848864.25,107,0.11633215187802506,0.06610698908693467,000665,-0.013707263656946245
2014-2015,2014-01-01,2015-12-31,489,1.2100973967185658,3.145011437744925,-0.44789728882930335,0.6127969223619183,1.1697996828366377,2.6740921236817736,-0.549065076332501,0.5062664918202622,0.8728863520765098,-0.5445464194194786,1.095503948259723,2.4117663261162674,1.3911364085874895,0.3919376583452998,0.5886519176977554,0.035819368748318266,0.10363052475675913,0.06467455395591998,-0.0004318213920838504,1.3599157379544624,0.044554212699317045,0.07257985820074908,0.11713407090006613,,0.043478260869565216,0.31414868105515587,0.8269720101781171,393,7016,14.34764826175869,58,55260078.6375,1946871950.99,24,0.2636238180483453,0.16013746864696896,300264,-0.006682411819185311
2019-2021,2019-01-01,2021-12-31,730,0.32858893638839914,1.0938586176917164,-0.25229999093240496,-0.06454176639271192,0.30666049996138267,1.0088910620378848,-0.2198583557621301,0.278642781566367,0.9045476831221939,-0.19979725149487082,0.3262479377539602,1.092963875395907,0.36314943356394846,0.03726800399144925,0.06615747538083983,0.04826402981273326,0.0051145081208990965,0.14103338423346679,0.01619878925956084,0.6744444847387989,-0.008534681384904222,0.00036074888713949265,-0.008173932497764729,,0.025,0.03812316715542522,0.07692307692307693,65,150,0.2054794520547945,3,31353800.401,1531956448.7525,36,0.13751433476983793,0.08616228305559263,002070,-0.012370980886596944
