strategy,ann_return,cumulative_return,max_drawdown,worst_12m,buy_fail_rate,sell_fail_rate,suspended_position_days,median_target_count,median_amount_20d,median_float_market_cap,size_bucket,selector,rpe_high_ann_return,rpe_low_ann_return,smallest_ann_return,rpe_high_minus_low,rpe_high_minus_smallest
p10_20_smallest,0.3068028360634054,79.73816467495452,-0.6696619614956731,-0.5935958099734019,0.029267250587481308,0.11804533411833971,20700,100.0,34549557.887499996,1298140871.0700002,p10_20,smallest,0.2967235656963787,0.2932186968351014,0.3068028360634054,0.0035048688612773216,-0.010079270367026716
p10_20_rpe_high,0.2967235656963787,83.85945627960889,-0.6025164648710353,-0.517070844349935,0.022051102555127756,0.13411170716314294,15743,100.0,30574155.31674999,1544794976.6399999,p10_20,rpe_high,0.2967235656963787,0.2932186968351014,0.3068028360634054,0.0035048688612773216,-0.010079270367026716
p10_20_rpe_low,0.2932186968351014,77.63736202543345,-0.6025164648710353,-0.517070844349935,0.03122458936412425,0.134711964549483,16797,100.0,36483828.46599999,1534912803.91,p10_20,rpe_low,0.2967235656963787,0.2932186968351014,0.3068028360634054,0.0035048688612773216,-0.010079270367026716
p20_30_smallest,0.2756697674078561,50.090012972985015,-0.6993699734210703,-0.63302069496404,0.02521911691747974,0.11062923229095335,24026,100.0,38294219.548999995,1895844974.6,p20_30,smallest,0.27229032396617425,0.2594070938312403,0.2756697674078561,0.012883230134933976,-0.0033794434416818397
p20_30_rpe_high,0.27229032396617425,53.72049810364474,-0.6554933058970784,-0.5845943113985339,0.02197958026091889,0.12248322147651007,16769,100.0,36135261.525,2092093484.21,p20_30,rpe_high,0.27229032396617425,0.2594070938312403,0.2756697674078561,0.012883230134933976,-0.0033794434416818397
p20_30_rpe_low,0.2594070938312403,41.96219409917083,-0.6559844318133667,-0.5841208118019598,0.030452248283011532,0.12338202113763211,18422,100.0,43273791.684,2107610158.4099998,p20_30,rpe_low,0.27229032396617425,0.2594070938312403,0.2756697674078561,0.012883230134933976,-0.0033794434416818397
p30_40_smallest,0.22799514783006125,22.987978956225298,-0.6937668639676746,-0.6289359763081516,0.027978883861236804,0.09554455445544555,22097,100.0,47063815.06650001,2424130969.0,p30_40,smallest,0.24341203890457863,0.22285421524157112,0.22799514783006125,0.020557823663007513,0.01541689107451738
p30_40_rpe_high,0.24341203890457863,33.721993605070864,-0.6632743397415505,-0.5921056617746729,0.025218868417614008,0.10820307766872653,15629,100.0,43327143.9585,2679476377.375,p30_40,rpe_high,0.24341203890457863,0.22285421524157112,0.22799514783006125,0.020557823663007513,0.01541689107451738
p30_40_rpe_low,0.22285421524157112,23.018307828772798,-0.6658453146349342,-0.5931230997125303,0.03258145363408521,0.11496794163166041,17715,100.0,54101761.6295,2721919204.925,p30_40,rpe_low,0.24341203890457863,0.22285421524157112,0.22799514783006125,0.020557823663007513,0.01541689107451738
p40_50_smallest,0.1836530384132573,11.183463875796967,-0.7043351924502759,-0.6403134791090234,0.025452912112591704,0.1209254848587955,30578,100.0,54915006.15725,3112453151.5,p40_50,smallest,0.20355853115258915,0.16201459955449238,0.1836530384132573,0.04154393159809677,0.019905492739331843
p40_50_rpe_high,0.20355853115258915,17.237477575916483,-0.6622672162629983,-0.5933521660673899,0.02466891716437289,0.13783878097010585,21772,100.0,52445861.0515,3429127171.23,p40_50,rpe_high,0.20355853115258915,0.16201459955449238,0.1836530384132573,0.04154393159809677,0.019905492739331843
p40_50_rpe_low,0.16201459955449238,7.823851799326313,-0.6639233470861037,-0.5935596793960622,0.03130885122410546,0.13372402770378264,23229,100.0,67241262.67499998,3396400372.63,p40_50,rpe_low,0.20355853115258915,0.16201459955449238,0.1836530384132573,0.04154393159809677,0.019905492739331843
