strategy,label,role,ann_return,cost_30bps_ann_return,cumulative_return,max_drawdown,max_drawdown_ex_2008,worst_12m,worst_12m_ex_2008,ann_vol,sharpe,calmar,2008_ann_return,2008_max_drawdown,2014_2015_ann_return,2014_2015_max_drawdown,2016_2018_ann_return,2016_2018_max_drawdown,2022_2025_ann_return,2022_2025_max_drawdown,turnover,buy_fail_rate,sell_fail_rate,forced_state_pnl,suspended_position_days,median_holdings,median_cash_slots,median_target_count,median_candidate_count,median_amount_20d,median_float_mcap
baseline_p10_50_smallest100,current p10-50 lower-edge,current,0.3072190705431266,0.27272471618524974,80.19416675979525,-0.6696619614956734,-0.5674669462437438,-0.5935958099734019,-0.4531635687626596,0.3168372496804406,0.9696431554464798,0.4587673904262987,-0.40289866430554544,-0.6696619614956729,1.2100973967185658,-0.44789728882930346,-0.15782751758811864,-0.5674669462437434,0.24660303630996427,-0.43944585907514344,0.035408743383650264,0.02908157810328237,0.1182996269389358,-0.12712477944108594,20761,100.0,0.0,100.0,863.0,34549557.887499996,1298140871.0700002
p10_20_top100,p10-20,small,0.3068028360634054,0.27229304842460333,79.73816467495452,-0.6696619614956731,-0.5674669462437432,-0.5935958099734019,-0.4531635687626596,0.3167127598664627,0.9687100582646697,0.4581458313358116,-0.40289866430554544,-0.6696619614956729,1.2100973967185658,-0.44789728882930346,-0.15782751758811864,-0.5674669462437434,0.24660303630996427,-0.43944585907514344,0.035436188982552436,0.029267250587481308,0.11804533411833971,-0.1294935582569176,20700,100.0,0.0,100.0,216.0,34549557.887499996,1298140871.0700002
p20_30_top100,p20-30,small_mid,0.2756697674078561,0.23208356673152175,50.090012972985015,-0.6993699734210703,-0.6423300139362991,-0.63302069496404,-0.4612885558322233,0.31191873445807616,0.8837871437469167,0.3941687202545702,-0.4728480139300958,-0.6993699734210702,0.9828744904969005,-0.5347797518120485,-0.17245376105163823,-0.5659943284124752,0.2509097538871292,-0.40721540194184713,0.04602626935894923,0.02521911691747974,0.11062923229095335,-0.2618605368507874,24026,100.0,0.0,100.0,215.0,38294219.548999995,1895844974.6
p30_40_top100,p30-40,mid,0.22799514783006125,0.18217340884907696,22.987978956225298,-0.6937668639676746,-0.6505357931483514,-0.6289359763081516,-0.476303130954701,0.30957401890934083,0.7364802402776246,0.328633665964024,-0.4827918606162763,-0.6937668639676746,0.9436039718938913,-0.530465393669258,-0.1885182496576192,-0.5499151848058829,0.20788133763215488,-0.37857032780915845,0.05033914918643403,0.027978883861236804,0.09554455445544555,-0.3949549052022867,22097,100.0,0.0,100.0,215.0,47063815.06650001,2424130969.0
p40_50_top100,p40-50,mid,0.1836530384132573,0.1390441711586592,11.183463875796967,-0.7043351924502759,-0.6359350215529683,-0.6403134791090234,-0.4838501975898566,0.2988699618616226,0.6144914573191167,0.2607466450375085,-0.5031343927644278,-0.7043351924502762,0.74799902988123,-0.520747743180036,-0.18917151305709845,-0.5418240490706563,0.10229326203554923,-0.36430037786132785,0.05084493236620271,0.025452912112591704,0.1209254848587955,-0.1907431226336987,30578,100.0,0.0,100.0,216.0,54915006.15725,3112453151.5
p50_70_top100,p50-70,mid_large,0.1669002197657401,0.12389882936428531,7.873336053404506,-0.7244336903119553,-0.6760546712721447,-0.6606934853538287,-0.4581620985753385,0.303579231041772,0.5497748287753418,0.2303871589598071,-0.5572349674266408,-0.7244336903119555,0.7823313557451577,-0.5068223461775115,-0.21047133703464038,-0.5417181552184457,0.06458655221222687,-0.38492848252338263,0.04969221721231131,0.028998778998779,0.09446955024747149,-0.41773595149189907,21993,100.0,0.0,100.0,431.0,67760069.83399999,3931851210.3
p70_90_top100,p70-90,large,0.15231546722498246,0.11797822529193391,6.564788645492007,-0.7293017685527833,-0.6854943199579923,-0.6849082068635404,-0.4475684810219184,0.28803694134064795,0.5288053209982049,0.20885108715317563,-0.5694178231189472,-0.7293017685527836,0.5684144227061763,-0.5083338544440413,-0.1989565377778999,-0.5081213424744686,0.0459385277926978,-0.37674634134648544,0.04003528719858851,0.027761985976880805,0.1222356599861783,-0.3381346645297679,25888,100.0,0.0,100.0,431.0,102210123.60775,7193004240.07
p90_100_top100,p90-100 lower-edge,large,0.10940890539658765,0.09625021437128778,3.4023046911627812,-0.7023459928889149,-0.5353133096376519,-0.6913044099894838,-0.4354791908239619,0.2468482040658403,0.44322342068733744,0.1557763645045699,-0.5746167528457955,-0.6964142822200455,0.352675917428664,-0.43263868966366403,-0.09998683373233497,-0.31497330182522487,0.011954623426956745,-0.31075359285865434,0.01578906096843756,0.03411513859275053,0.4377209105047363,-0.14137680516711248,64006,100.0,0.0,100.0,216.0,230330323.69924998,24061128548.415
top100_largest,largest top100,mega,0.12284671496231803,0.12030131952213141,5.129369543562984,-0.6926289078934097,-0.41101408624853253,-0.6887220626355179,-0.36645012413620526,0.2290166729796744,0.5364094821743431,0.17736296242088584,-0.5873793679754263,-0.6871692122760846,0.370289004841303,-0.37656862217242326,-0.003014651237404853,-0.2531055880464893,0.03247711427400568,-0.2181799359133566,0.003003332679866693,0.03431952662721893,0.7893498087672844,-0.07020222926248987,56685,100.0,0.0,100.0,2156.0,472940986.95000005,69288110869.1
p20_50_smallest100,p20-50 lower-edge,candidate_core,0.27548622382884536,0.23193180967092042,49.94820391028188,-0.6993699734210707,-0.6423300139362997,-0.63302069496404,-0.4612885558322233,0.31189641719194405,0.8832619056964303,0.39390627893454466,-0.4728480139300958,-0.6993699734210702,0.9828744904969005,-0.5347797518120485,-0.17245376105163823,-0.5659943284124752,0.2509097538871292,-0.40721540194184713,0.045998823760047054,0.02515306966738375,0.11082356523062871,-0.2657050942289439,24074,100.0,0.0,100.0,647.0,38294219.548999995,1895844974.6
p30_70_smallest100,p30-70 lower-edge,candidate_core,0.2274933887270345,0.18172880419499537,22.79082933853761,-0.6937668639676746,-0.6505357931483509,-0.6289359763081516,-0.476303130954701,0.3095698423069304,0.7348693497782021,0.3279104271800942,-0.4827918606162763,-0.6937668639676746,0.9436039718938913,-0.530465393669258,-0.1885182496576192,-0.5499151848058829,0.20788133763215488,-0.37857032780915845,0.05029602038815918,0.02800211336704657,0.0956829440905874,-0.39883425850371435,22120,100.0,0.0,100.0,862.0,47063815.06650001,2424130969.0
p50_100_smallest100,p50-100 lower-edge,candidate_core,0.1669002197657401,0.12389882936428531,7.873336053404506,-0.7244336903119553,-0.6760546712721447,-0.6606934853538287,-0.4581620985753385,0.303579231041772,0.5497748287753418,0.2303871589598071,-0.5572349674266408,-0.7244336903119555,0.7823313557451577,-0.5068223461775115,-0.21047133703464038,-0.5417181552184457,0.06458655221222687,-0.38492848252338263,0.04969221721231131,0.028998778998779,0.09446955024747149,-0.41773595149189907,21993,100.0,0.0,100.0,1078.0,67760069.83399999,3931851210.3
