symbol,raw_sharpe,vt_sharpe,vt_ret,vt_vol,vt_maxdd,avg_scale
AU0,0.7041115712463527,0.7955317928968831,0.16212671298030584,0.20379664826459137,-0.46581903094161325,1.8617636397557213
AG0,0.7125044729633369,0.763348644022023,0.156228274814906,0.2046617571647887,-0.34642482594444957,1.0806221424539937
P0,0.6350308447417519,0.6656647609197593,0.1301444448011464,0.19551049182973693,-0.4616400389396248,0.9548721242749771
RB0,0.5129591306624848,0.6227597009000276,0.12126427884680234,0.19472081875488767,-0.23494472208420158,0.9896032326064841
TA0,0.17896750662796482,0.48128979919474524,0.09691131234508742,0.20135750333215352,-0.3989833286054477,0.9989169513986749
HC0,0.40234323180040715,0.4698007918402949,0.09201227291252466,0.19585380550785345,-0.3046961271397345,1.042097574559382
SC0,0.45578109046705806,0.4570242835608336,0.09091151146629535,0.19892052728133494,-0.29022904897416546,0.6414141583287875
Y0,0.5024476539958679,0.4499620777414517,0.08757576667667115,0.19462921656920654,-0.3346957046060801,1.2172515468823613
CU0,0.20119607422886854,0.3320579906083773,0.06919410467428819,0.20837958016765318,-0.4241339380396476,1.4252851114997804
J0,0.1603881266159461,0.2261159956548433,0.043966637794168296,0.19444284632247577,-0.38736319568873034,0.6435610260579916
I0,-0.04657888382676328,0.1379184613551729,0.026540792995323796,0.1924382909621862,-0.5081502191567338,0.6487888029459644
RU0,0.14508834405870696,0.1305958920348558,0.025600380377929485,0.19602745522115497,-0.4856295887775489,0.9055398286178685
C0,0.036864238331693666,0.057543013925460684,0.011149811268630648,0.19376481188617864,-0.4226761395060643,1.986877868949122
AL0,-0.05724961175355489,0.03715304197652423,0.007380768619026277,0.19865852771059606,-0.4247070496536892,1.461316764437593
CF0,-0.061874628047447006,-0.08564697033028322,-0.017547235898260793,0.20487865280689804,-0.6241681813762072,1.3257094203747724
MA0,-0.24495650959320753,-0.15884097479961634,-0.0309522477992591,0.19486311915616536,-0.6021397347815788,0.8713638448662019
ZN0,-0.2859724822030056,-0.2786877959854547,-0.05509630625416103,0.1976990275420479,-0.5337255883390415,1.1105522047090801
M0,-0.21960624853223934,-0.3404100970639829,-0.06710450595801579,0.19712842402968717,-0.5944101596769745,1.162126884366429
SR0,-0.41379871465232776,-0.35095876797979925,-0.0680962067706331,0.19402907971956593,-0.7370399418875933,1.6867957292112143
