symbol,T_sharpe,C_sharpe,P_sharpe,P_ret,P_maxdd,agree_rate,opposite_rate
P0,0.6656647609197593,0.7360915927700369,0.7772765037642112,0.1399894178930184,-0.2867847822351012,0.8040646169880146,0.1938509640437728
Y0,0.4499620777414517,0.873001647303812,0.7623133941769971,0.13230269238541648,-0.2523474333684482,0.7746478873239436,0.2237871674491393
RB0,0.6227597009000276,0.6078491084415867,0.7013279647942928,0.12187484788320169,-0.23248842414043924,0.7574490329325666,0.24255096706743334
HC0,0.4698007918402949,0.7197000639641717,0.691763299413952,0.11901903013125731,-0.22867859127168033,0.7298850574712644,0.26802507836990597
I0,0.1379184613551729,0.8497297375504801,0.5667665316023391,0.09809582572205235,-0.3527576457137641,0.7652582159624414,0.23369848721961398
AL0,0.03715304197652423,0.7848318135901846,0.5588798162907523,0.08242867800226956,-0.2952307501284771,0.5005285412262156,0.46405919661733613
CU0,0.3320579906083773,0.3895726813336229,0.5572488482798662,0.0758146800278731,-0.21289412093255244,0.40218522372528615,0.5572320499479708
SC0,0.4570242835608336,0.314763417239422,0.47317707261970854,0.07787735657401726,-0.2902290489741649,0.6633846153846154,0.33353846153846156
J0,0.2261159956548433,0.4650372971638424,0.3992455940155578,0.06917414684461344,-0.2623788637573913,0.7497403946002077,0.2497403946002077
AG0,0.763348644022023,-0.3336022991883902,0.34934781763682815,0.04502805131896878,-0.311404649055524,0.37376093294460644,0.6239067055393586
RU0,0.1305958920348558,0.3780881940925677,0.31282638147731934,0.051157672649053014,-0.354445605851634,0.6828631138975967,0.3166144200626959
TA0,0.48128979919474524,0.05295165555673287,0.29633750166335726,0.05395460891831233,-0.4524505767430763,0.736732570239334,0.25806451612903225
M0,-0.3404100970639829,0.5728074086025333,0.15518901860624112,0.02495706998437663,-0.4174128867111996,0.6332288401253918,0.36415882967607105
ZN0,-0.2786877959854547,0.36135956661794627,0.0635924943828409,0.00921298316087013,-0.33412161348537306,0.5321910695742471,0.44132917964693663
AU0,0.7955317928968831,-0.9813318255924006,-0.1899803573241217,-0.018767910120809236,-0.37456055309534,0.2597826086956522,0.7402173913043478
CF0,-0.08564697033028322,-0.2568291610414799,-0.19731329620597873,-0.03536020116052723,-0.6698428155600028,0.7546875,0.2390625
MA0,-0.15884097479961634,-0.39969325370020703,-0.3582281731359302,-0.05613810651779301,-0.5034174705005391,0.5889698231009365,0.4084287200832466
C0,0.057543013925460684,-0.8009471073321467,-0.5109211531581932,-0.07400976722461992,-0.5464229352335809,0.5563829787234043,0.4409574468085106
SR0,-0.35095876797979925,-0.39748072964548764,-0.5232249766404284,-0.07396251571744056,-0.6324965099461085,0.5158936946326211,0.47837415320479415
