symbol,name,sector,exchange,main_months,n_total,n_valid,valid_rate,mean,median,q05,q95,pos_rate,neg_rate,month_gaps
M0,豆粕,农产品,DCE,1/5/9,2186,2166,0.9908508691674291,0.07507243197394314,0.013940087607329121,-0.09323195860316666,0.43211129195197134,0.5401662049861495,0.45706371191135736,{4: 2166}
C0,玉米,农产品,DCE,1/5/9,2186,2132,0.9752973467520586,-0.030490264245350104,-0.049005384829015786,-0.123890281492498,0.10873769819573574,0.27157598499061913,0.726078799249531,"{2: 280, 4: 1852}"
P0,棕榈油,农产品,DCE,1/5/9,2186,2171,0.9931381518755719,0.056725095240371066,0.032241555783009135,-0.12453743489509522,0.281233004677113,0.6250575771533855,0.372639336711193,"{3: 2, 4: 2169}"
Y0,豆油,农产品,DCE,1/5/9,2186,2169,0.9922232387923148,0.03662227413470996,0.029211295034080154,-0.08363876136004171,0.2132386754134106,0.6214845550945136,0.3771323190410327,{4: 2169}
SR0,白糖,农产品,CZCE,1/5/9,2186,2171,0.9931381518755719,0.01687987495707261,0.01414068165337179,-0.08439133842326019,0.1338324855867835,0.592814371257485,0.40211883924458774,"{2: 82, 4: 2089}"
CF0,棉花,农产品,CZCE,1/5/9,2186,2172,0.9935956084172004,-0.03177245677149918,-0.033846458837364646,-0.1340388811136086,0.10479371738829897,0.2541436464088398,0.738950276243094,{4: 2172}
RB0,螺纹钢,黑色,SHFE,1/5/10,2186,2165,0.9903934126258005,0.08510037305587316,0.08113744075829388,-0.06270263905353675,0.27742850310476946,0.7695150115473441,0.2304849884526559,"{3: 892, 4: 580, 5: 693}"
I0,铁矿石,黑色,DCE,1/5/9,2186,2169,0.9922232387923148,0.16440069880847083,0.15558267236119572,-0.02868072763814511,0.363106140812536,0.9230059935454127,0.0756108805901337,{4: 2169}
J0,焦炭,黑色,DCE,1/5/9,2186,2178,0.9963403476669717,0.08836130489490346,0.09747743866165037,-0.13565016719655332,0.3001222102715925,0.7548209366391184,0.24471992653810837,{4: 2178}
HC0,热轧卷板,黑色,SHFE,1/5/10,2186,2166,0.9908508691674291,0.08023816988371392,0.08059269042406356,-0.02942241354500789,0.19078626015973377,0.8407202216066482,0.15743305632502308,"{3: 886, 4: 593, 5: 687}"
CU0,铜,有色,SHFE,1/2/3/4/5/6/7/8/9/10/11/12,2186,2174,0.9945105215004575,0.0001870160651712762,-0.0051080146418516215,-0.040332165250132015,0.05265963067800108,0.3891444342226311,0.5745170193192273,{1: 2174}
ZN0,锌,有色,SHFE,1/2/3/4/5/6/7/8/9/10/11/12,2186,2178,0.9963403476669717,0.05343712349250164,0.03361091486643364,-0.02092757415725155,0.17980114166324784,0.7892561983471075,0.18411386593204776,{1: 2178}
AL0,铝,有色,SHFE,1/2/3/4/5/6/7/8/9/10/11/12,2186,2144,0.9807868252516011,0.009035349253952465,0.0,-0.07062174753336556,0.15194563068838132,0.4855410447761194,0.4832089552238806,{1: 2144}
TA0,PTA,能化,CZCE,1/5/9,2186,2174,0.9945105215004575,0.012664259008784283,0.0,-0.10200300854380917,0.16652035064280596,0.49494020239190434,0.49862005519779207,{4: 2174}
MA0,甲醇,能化,CZCE,1/5/9,2186,2174,0.9945105215004575,0.0010984375798737255,-0.01594096066700379,-0.16098908224135158,0.20818814517259085,0.4586016559337627,0.5390984360625575,{4: 2174}
RU0,橡胶,能化,SHFE,1/5/9,2186,2166,0.9908508691674291,-0.12422981594784527,-0.063276330757358,-0.4131219164579216,0.011552034843843817,0.08310249307479224,0.9164358264081256,{4: 2166}
SC0,原油,能化,INE,1/2/3/4/5/6/7/8/9/10/11/12,1888,1763,0.933792372881356,-0.005962155110786452,0.02492211838006142,-0.5001727526004586,0.28182560778446947,0.5740215541690301,0.422575155984118,{1: 1763}
AU0,黄金,贵金属,SHFE,6/12,2186,2078,0.9505946935041171,-0.017842195966626836,-0.017465837212241264,-0.03019601450751863,-0.006567610872771018,0.0009624639076034649,0.9990375360923965,"{2: 275, 4: 342, 6: 1461}"
AG0,白银,贵金属,SHFE,6/12,2186,1923,0.8796889295516926,-0.02768705262500454,-0.024887476833465705,-0.05511706219864463,-0.006497501102006145,0.013520540821632865,0.984399375975039,"{2: 129, 4: 321, 6: 1473}"
