strategy,n_symbols,cost_bp,IS_sharpe,IS_ret,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd,Full_sharpe,Full_ret
Pool_filtered_19,19,0,1.0952870171628355,0.06385398216181244,1.2748717763070438,0.06576900882634829,0.05158872448871931,-0.05022959274853833,1.1486843289294477,0.06449115579344519
Pool_filtered_19,19,1,1.0674838301026932,0.06223464642248263,1.229790057452097,0.06344116748119848,0.051586990069375845,-0.05065294813500065,1.1156334892646227,0.06263608386398672
Pool_filtered_19,19,2,1.039676797068577,0.06061531068315279,1.1846951698697277,0.06111332613604866,0.05158569705552935,-0.051076123367184145,1.0825765200228572,0.060781011934528215
Pool_filtered_19,19,5,0.9562368334257784,0.05575730346516332,1.0493430588719972,0.05412980210059922,0.051584466722243004,-0.052344568868955665,0.9833749569483712,0.055215796146152754
Pool_filtered_19,19,10,0.8171326166658156,0.047660624768514195,0.8236008891547361,0.042490595374850164,0.05159124514600559,-0.05445504843703253,0.8179735893406007,0.045940436498860295
Pool_filtered_19,19,20,0.5389724515660109,0.031467267375215935,0.37205593359781575,0.019212181923352004,0.05163788610375974,-0.05890398757515247,0.48720099872772615,0.027389717204275393
Pool_on_14,14,0,1.3290145360240528,0.08863759500576258,0.6275379779646014,0.032601798748658505,0.05195191349916599,-0.06889356428163296,1.1255000368924883,0.06999319048452017
Pool_on_14,14,1,1.3084596069293,0.08727119713441063,0.5824135048667775,0.03025997577158696,0.051956171206072384,-0.06930680412765267,1.0982313158385397,0.06830224613634527
Pool_on_14,14,2,1.2879038743766134,0.08590479926305863,0.5372919561652086,0.0279181527945154,0.051960861267632705,-0.06971986942003272,1.0709623107870285,0.06661130178817032
Pool_on_14,14,5,1.2262332606660271,0.08180560564900272,0.40195611703699335,0.02089268386330072,0.05197752435591843,-0.07095801867619811,0.9891567796811155,0.061538468743645575
Pool_on_14,14,10,1.1234459397456653,0.07497361629224279,0.17655979729913707,0.009183568977942915,0.05201393022888229,-0.07301811623431043,0.8528382761550658,0.05308374700277095
Pool_on_14,14,20,0.917923218904576,0.061309637578723014,-0.2731182993839527,-0.014234660792772682,0.052119029830225476,-0.07925863427094526,0.5804341737219393,0.0361743035210217
TSMOM_only_19,19,0,0.7260932733841912,0.04746590130217404,0.6350655837455003,0.04256890245348309,0.06703071862660155,-0.0760118650540712,0.6954089840453932,0.04583655660514963
TSMOM_only_19,19,1,0.7041325454374797,0.04603412002261325,0.6017541382540066,0.04033478118603796,0.06702867271186466,-0.07747825762459903,0.6696065002423943,0.044137818267835104
TSMOM_only_19,19,2,0.6821719547313394,0.04460233874305247,0.5684370523419002,0.038100659918592794,0.0670270520924386,-0.07894235107207581,0.6438026685231759,0.042439079930520596
TSMOM_only_19,19,5,0.6162944071172396,0.04030699490437015,0.46845828944597145,0.031398296116257406,0.06702474227404755,-0.08332087225940665,0.5663875010862601,0.03734286491857702
TSMOM_only_19,19,10,0.506532945050868,0.033148088506566295,0.3017733986646613,0.020227689779031728,0.06702939976995546,-0.09057275640510487,0.4373764490809782,0.028849173232004446
TSMOM_only_19,19,20,0.28729122318821004,0.018830275710958532,-0.03151191162993782,-0.0021135228954196465,0.06707060238807279,-0.11614910737584827,0.17960555384394655,0.011861789858859243
TSMOM_only_14,14,0,0.8828730145785504,0.06672007683126552,0.015539947077494802,0.001183483236492023,0.07615748178486155,-0.11076668241531207,0.5927390939986086,0.044914537452134945
TSMOM_only_14,14,1,0.8681132928424549,0.06561053821842167,-0.01350554203493852,-0.001028598829634194,0.07616124010226565,-0.11479174616508458,0.5732052605805302,0.04343815715025846
TSMOM_only_14,14,2,0.8533535597830403,0.0645009996055778,-0.04254791566520993,-0.0032406808957604182,0.07616544418438385,-0.11879869227527107,0.5536724994916505,0.04196177684838198
TSMOM_only_14,14,5,0.8090756770176654,0.06117238376704622,-0.1296512525250934,-0.009876927094139044,0.07618073024190344,-0.13071163392188168,0.495083121846826,0.03753263594275254
TSMOM_only_14,14,10,0.7352918860702314,0.055624690702826884,-0.27471371962620256,-0.020937337424770115,0.0762151138765808,-0.15021168221300285,0.3974786423487187,0.030150734433370116
TSMOM_only_14,14,20,0.5878337961066836,0.044529304574388244,-0.5641997596542905,-0.04305815808603227,0.07631722160324184,-0.1879163306219248,0.2025468916034396,0.015386931414605303
