symbol,name,sector,carry_ex,sharpe,ann_ret,contrib
AU0,黄金,贵金属,True,2.255994451140831,0.5075353137287237,0.02671238493309072
AG0,白银,贵金属,True,1.7987105668378496,0.3906090805021832,0.02055837265800964
CU0,铜,有色,False,1.0225231234823609,0.15384496138255632,0.00809710323066086
TA0,PTA,能化,False,0.5657930608637025,0.10079769114971061,0.005305141639458453
RB0,螺纹钢,黑色,False,0.4914402330734573,0.08049784368633146,0.004236728615070077
AL0,铝,有色,False,0.57201798276433,0.07100046904476394,0.003736866791829681
C0,玉米,农产品,True,0.3124009267666244,0.06470340920561941,0.0034054425897694428
J0,焦炭,黑色,False,0.3471673198377494,0.06073664347608609,0.003196665446109794
HC0,热轧卷板,黑色,False,0.33345344624852735,0.05517663588793466,0.0029040334677860346
Y0,豆油,农产品,False,0.3606605726047859,0.05005363832134428,0.002634402016912857
M0,豆粕,农产品,False,0.3246333469642943,0.04917725516972003,0.0025882765878800017
SC0,原油,能化,False,0.20740803807845848,0.02916610844118173,0.0015350583390095647
I0,铁矿石,黑色,False,0.1262087954637405,0.021461970970557596,0.0011295774195030314
P0,棕榈油,农产品,False,0.11060802881255354,0.017548958149177778,0.0009236293762725146
RU0,橡胶,能化,False,-0.21645735999920837,-0.029210270820056124,-0.001537382674739796
CF0,棉花,农产品,True,-0.34044758496321254,-0.07002493782536792,-0.003685523043440417
ZN0,锌,有色,False,-0.6053155902300578,-0.08364872512835066,-0.004402564480439508
SR0,白糖,农产品,True,-0.45746776949120116,-0.09416146349985828,-0.004955866499992541
MA0,甲醇,能化,False,-0.7807979350842043,-0.11529237372126373,-0.006068019669540197
