strategy,period,sharpe,ann_ret,ann_vol,max_dd,nav_end
B&H,IS,0.6588735472230344,0.09115159026310397,0.13834458925735013,-0.20559593755855166,1.6030435523864648
B&H,OOS,0.4580669988475484,0.048119760643549774,0.10504961231569697,-0.12338586065243218,1.1307654370951192
B&H,Full,0.5992736183479057,0.07683390599151775,0.12821172773020714,-0.20559593755855166,1.8126662431967915
TSMOM_only,IS,0.7260932733841912,0.04746590130217404,0.06537163067348627,-0.11590598760323545,1.2998475879937583
TSMOM_only,OOS,0.6350655837455003,0.04256890245348309,0.06703071862660155,-0.0760118650540712,1.123354991446854
TSMOM_only,Full,0.6954089840453932,0.04583655660514963,0.06591309237695674,-0.12602168019612425,1.460190276092941
Pool_original,IS,1.0834704600124836,0.0572473072504092,0.05283698020687117,-0.07630518270943398,1.3814237996539782
Pool_original,OOS,0.3432437355295634,0.014908303879297438,0.043433578929842974,-0.05376835960680604,1.0411115106347344
Pool_original,Full,0.8647399293789371,0.043160142284368805,0.04991112451042564,-0.08885704015068052,1.4382162188845282
Pool_filtered,IS,1.0952870171628355,0.06385398216181244,0.05829885788952004,-0.08819870602195878,1.4327163101598173
Pool_filtered,OOS,1.2748717763070438,0.06576900882634829,0.05158872448871931,-0.05022959274853833,1.2042776964840483
Pool_filtered,Full,1.1486843289294477,0.06449115579344519,0.05614349753822248,-0.09430200541806855,1.7253882977143864
