symbol,wealth_contribution_x,contribution_share,avg_exposure,active_days,active_day_ratio,cagr,sharpe,mdd,calmar,final_equity,trades,win_rate,avg_days,positive_contribution_share
TRXUSDT,0.8330647246973779,0.12594866664114995,0.32984725117064206,890,0.38131962296486716,0.38111398233823635,0.9614816903363486,-0.39399202666988953,0.9673139468316114,7.876193365801322,27,0.7407407407407407,32.925925925925924,0.12201003832856636
BNBUSDT,0.7579157973528748,0.11458711583008775,0.2981539987039398,867,0.37146529562982006,0.48695764516310636,1.0477040306724896,-0.45148523698482856,1.0785682571044284,12.6268457556637,27,0.5185185185185185,32.111111111111114,0.11100378247133486
SOLUSDT,0.7440660304844313,0.11249320929598873,0.15619082775533863,621,0.2660668380462725,0.4516440113401792,1.2388532789659432,-0.4246051911200849,1.0636799096797838,10.828653426185612,17,0.5882352941176471,36.529411764705884,0.10897535594412311
AVAXUSDT,0.7027498573426095,0.10624673556633026,0.09705441729476673,429,0.18380462724935734,0.5273314091890604,1.1710949170942622,-0.3257502907104195,1.6188209933413058,14.985154702311553,15,0.4666666666666667,28.6,0.10292422003694067
XRPUSDT,0.6866976301360814,0.10381984536999235,0.18459210995243613,573,0.2455012853470437,0.3128036644017982,0.7959813941280174,-0.6355481428690714,0.4921793382790807,5.695175200047198,27,0.4074074074074074,21.22222222222222,0.10057322281107828
ADAUSDT,0.6673394364781411,0.1008931355868066,0.1767441197125717,647,0.2772065124250214,0.5949803299595375,1.38108240767646,-0.3679549454770773,1.6169923445059482,19.76822335824395,15,0.6,43.13333333333333,0.09773803620413715
NEARUSDT,0.5119197586801619,0.07739568021734121,0.10331015912291047,457,0.1958011996572408,0.2168106089719226,0.6990085872020967,-0.43287486027554933,0.5008620940331586,3.5053118199288864,18,0.5,25.333333333333332,0.074975386096688
UNIUSDT,0.4614157097147359,0.06976011789115406,0.12936617676077122,556,0.23821765209940018,0.2475329519330538,0.7481504287176524,-0.3455141472574291,0.7164191507001496,4.110962319980846,15,0.4666666666666667,37.06666666666667,0.06757860074815718
BTCUSDT,0.43996689940935413,0.06651733377256937,0.3342542649762889,928,0.3976006855184233,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,7.845761035462981,24,0.5416666666666666,38.666666666666664,0.06443722398609054
DOGEUSDT,0.36553078251225923,0.05526355072883346,0.14747808787590852,511,0.21893744644387317,0.20235420781017255,0.5858220781769425,-0.5945454192746873,0.34035113424477065,3.24750430788613,27,0.3333333333333333,18.925925925925927,0.05353536581541438
ETHUSDT,0.3566887372666572,0.05392674726561055,0.2588018567746398,850,0.36418166238217653,0.40149495413223657,1.1287166726155013,-0.3137770720551456,1.2795547855124187,8.649300468839233,22,0.5909090909090909,38.63636363636363,0.05224036646262013
LINKUSDT,0.30048221478075676,0.04542904432157272,0.16417296686055055,722,0.3093401885175664,0.2712560995305846,0.88003659309075,-0.42036473963848653,0.6452874705044593,4.636975572588241,20,0.6,36.1,0.04400840109484957
AAVEUSDT,-0.004778984169893648,-0.000722520911344456,0.15300356282456895,653,0.27977720651242505,0.05888675388570075,0.3355378686930073,-0.6055260046032143,0.09724892645079336,1.4415597801568656,22,0.2727272727272727,29.681818181818183,0.0
LTCUSDT,-0.20873907139175782,-0.03155866157609069,0.1767663549449776,627,0.2686375321336761,-0.08573938679068904,-0.09685252189521067,-0.6085912189491225,-0.14088173493324221,0.563855784391186,28,0.35714285714285715,22.392857142857142,0.0
