start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,combo,strategy,label,etf_weight,corr_to_cb,delta_cagr_vs_cb,mdd_improvement_vs_cb,delta_vol_vs_cb
2017-02-14,2026-04-30,2238,8.880952380952381,4.549044375802816,0.18599310531193347,0.16528946871101485,1.1252568403926326,-0.1875621257861686,0.9916346625542947,-0.10790126170932424,cb_final,cb_final,可转债最终版,0.0,1.0,0.0,0.0,0.0
2017-02-14,2026-04-30,2238,8.880952380952381,3.898558256196636,0.16556396032732312,0.13793720960912048,1.2002849760154635,-0.16103671904199024,1.028113099374264,-0.10667973383946538,combo_static_equity40_20,static_equity40,Buy&Hold核心40%权益,0.2,0.3399326651114698,-0.020429144984610348,0.02652540674417836,-0.02735225910189437
2017-02-14,2026-04-30,2238,8.880952380952381,3.5973973504362213,0.1550601296294689,0.1249550937843398,1.2409268396619944,-0.15065494613444952,1.0292402181810085,-0.10645710071992531,combo_static_equity40_30,static_equity40,Buy&Hold核心40%权益,0.3,0.3399326651114698,-0.03093297568246456,0.03690717965171908,-0.04033437492667505
2017-02-14,2026-04-30,2238,8.880952380952381,3.7793091160177434,0.16149393810699375,0.13492110456236078,1.1969509042401216,-0.1455244192355949,1.1097377261856323,-0.09213373719481932,combo_switch_3m_20,switch_3m,权益开关3M,0.2,0.23474906748557192,-0.02449916720493972,0.042037706550573706,-0.03036836414865407
2017-02-14,2026-04-30,2238,8.880952380952381,3.4329038041822755,0.14898877846983272,0.12009734420940657,1.240566803959044,-0.12690731872575567,1.1739967400287974,-0.08444553473268068,combo_switch_3m_30,switch_3m,权益开关3M,0.3,0.23474906748557192,-0.037004326842100754,0.06065480706041293,-0.04519212450160828
2017-02-14,2026-04-30,2238,8.880952380952381,3.8017810160705334,0.16226954519937675,0.1352749244890252,1.1995537666150509,-0.1389401988865594,1.167909262400474,-0.08519659025195092,combo_switch_6m_20,switch_6m,权益开关6M,0.2,0.2700095145381861,-0.02372356011255672,0.0486219268996092,-0.030014544221989653
2017-02-14,2026-04-30,2238,8.880952380952381,3.463840693027398,0.15015006939993736,0.12062082462556656,1.244810503211498,-0.11679866945360662,1.2855460606045532,-0.07393355432385185,combo_switch_6m_30,switch_6m,权益开关6M,0.3,0.2700095145381861,-0.03584303591199611,0.07076345633256198,-0.044668644085448295
2017-02-14,2026-04-30,2238,8.880952380952381,3.850468987754059,0.16393612796926926,0.13529095950534636,1.2117301005821524,-0.13674199385506824,1.1988718560226923,-0.08305147341759134,combo_switch_9m_20,switch_9m,权益开关9M,0.2,0.2451381725523078,-0.022056977342664208,0.050820131931100354,-0.02999850920566849
2017-02-14,2026-04-30,2238,8.880952380952381,3.530385091715252,0.15261710424724928,0.12071063044646352,1.2643219879042602,-0.1134141841248626,1.3456615274790187,-0.07065515783858722,combo_switch_9m_30,switch_9m,权益开关9M,0.3,0.2451381725523078,-0.03337600106468419,0.074147941661306,-0.044578838264551335
2017-02-14,2026-04-30,2238,8.880952380952381,3.867200369284819,0.164504525179612,0.13545901288639356,1.214422884637276,-0.13391625116902728,1.2284134579900734,-0.08231160655906633,combo_switch_12m_20,switch_12m,权益开关12M,0.2,0.25885525577828544,-0.021488580132321466,0.05364587461714132,-0.029830455824621294
2017-02-14,2026-04-30,2238,8.880952380952381,3.553540024597698,0.15346586732589507,0.1209635765551557,1.2686948558925861,-0.10921802618192111,1.4051331331539694,-0.0695491379081471,combo_switch_12m_30,switch_12m,权益开关12M,0.3,0.25885525577828544,-0.032527237986038404,0.07834409960424749,-0.04432589215585915
2017-02-14,2026-04-30,2238,8.880952380952381,3.828107353600852,0.16317302831424652,0.13571210117171015,1.202346930785423,-0.1511325032249864,1.0796686671121682,-0.09816557703761408,combo_switch_18m_20,switch_18m,权益开关18M,0.2,0.21872914927199816,-0.022820076997686956,0.03642962256118221,-0.029577367539304705
2017-02-14,2026-04-30,2238,8.880952380952381,3.4992017489538,0.15146621291663265,0.12154396321764585,1.2461845813387353,-0.13564240408356076,1.1166582746743698,-0.09370912605885084,combo_switch_18m_30,switch_18m,权益开关18M,0.3,0.21872914927199816,-0.03452689239530082,0.051919721702607835,-0.043745505493369
