start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,strategy,label,family,source,cost_bps,premium_cap,premium_filter,turnover_ann,worst_3y_cagr,worst_3y_mdd,worst_3y_calmar
2021-10-18,2026-05-15,1109,4.400793650793651,1.3889416334506557,0.07751253899217181,0.0805857710487212,0.9618638375416009,-0.16043698444267884,0.48313385633264383,-0.13806533451317926,static_bond,静态核心-国债仓,静态防守仓,close,30,0.05,abs<=5%,0.7271415689810641,0.03644545940188859,-0.1604369844426784,0.22716370248725304
2021-10-18,2026-05-15,1109,4.400793650793651,1.3727785426335173,0.0746503811389525,0.08085582706266788,0.9232529534463138,-0.16184052161782547,0.46125890100152983,-0.13936172785251233,static_short,静态核心-短融仓,静态防守仓,close,30,0.05,abs<=5%,0.7271415689810641,0.02852796240207378,-0.16184052161782647,0.17627206163756992
2021-10-18,2026-05-15,1109,4.400793650793651,1.5336314092183,0.10205102994110771,0.05030989666917291,2.0284484107008485,-0.06505075044264819,1.568790970844844,0.011278869261285962,equity_switch_bond,权益开关-国债fallback,fallback对照,close,30,0.05,abs<=5%,1.181605049594229,0.08615815163390428,-0.0650507504426483,2.027578017091634
2021-11-01,2026-05-15,1099,4.361111111111111,1.5156245090422387,0.10004269998682624,0.049846979233691885,2.0069962417944627,-0.06509175847402748,1.5369487986216361,0.012283090982296407,equity_switch_short_fb,权益开关-短融fallback,fallback对照,close,30,0.05,abs<=5%,1.4216560509554141,0.08328056659729821,-0.0650917584740277,1.9844264212952072
2021-11-01,2026-05-15,1099,4.361111111111111,1.4968182644462886,0.09689777884996209,0.04974983835390002,1.947700375640839,-0.06517468493656231,1.4867395054426027,0.010816664825813227,equity_switch_short_sleeve,权益开关-短融防守仓,防守仓替代,close,30,0.05,abs<=5%,1.4216560509554141,0.07604381030970164,-0.06517468493656275,1.927917715827437
2021-10-18,2026-05-15,1109,4.400793650793651,1.4496742093032176,0.08804224158111706,0.0627180943470227,1.4037773707532382,-0.08159644707723868,1.0789960192479562,-0.04067261768792174,fixed_gate_bond,固定Gate-国债fallback,fallback对照,close,30,0.05,abs<=5%,3.294860234445446,0.07245247791484655,-0.08159644707723868,1.5086171779528803
2021-10-18,2026-05-15,1109,4.400793650793651,1.4488589501945355,0.08790317128213343,0.062195664289496404,1.4133327826997502,-0.08164586752810199,1.0766395647872529,-0.03705893839743668,fixed_gate_short_fb,固定Gate-短融fallback,fallback对照,close,30,0.05,abs<=5%,3.294860234445446,0.0711462387627011,-0.08164586752810188,1.5692212560086172
2021-10-18,2026-05-15,1109,4.400793650793651,1.4381597834597046,0.0860724345290318,0.06225032495000223,1.3826824935960227,-0.0816957541120833,1.053572923887132,-0.03798181950142354,fixed_gate_short_sleeve,固定Gate-短融防守仓,防守仓替代,close,30,0.05,abs<=5%,3.294860234445446,0.06666141637700829,-0.0816957541120833,1.5388258781755628
2021-10-18,2026-05-15,1109,4.400793650793651,1.434825464493628,0.08549974769875912,0.060042308971274806,1.423991667936414,-0.08159644707723901,1.0478366492823548,-0.04067261768792174,dual_mom_bond,双动量-国债fallback,fallback对照,close,30,0.05,abs<=5%,2.7267808836789897,0.07135545244065322,-0.08159644707723901,1.4857747366361727
2021-10-18,2026-05-15,1109,4.400793650793651,1.4196590256414583,0.08288177869743096,0.059613458464072136,1.3903199182342723,-0.08169575411208307,1.0145175792577998,-0.03798181950142354,dual_mom_short_fb,双动量-短融fallback,fallback对照,close,30,0.05,abs<=5%,2.7267808836789897,0.06375635794504952,-0.08169575411208352,1.4794839072408752
2021-10-18,2026-05-15,1109,4.400793650793651,1.1306724372846035,0.028299950998700973,0.016550197908451223,1.7099463798103487,-0.015572435097222725,1.8173105761569779,-0.011162909147502287,bond_only,国债ETF,单资产参考,close,30,0.05,abs<=5%,0.0,0.026161183098463825,-0.015572435097223059,1.6799673869329605
2021-10-18,2026-05-15,1109,4.400793650793651,1.0982326067598434,0.021520400674641227,0.007403373651385613,2.9068370297119173,-0.010589510547819647,2.032237521976143,0.010665581496587473,short_only,短融ETF,单资产参考,close,30,0.05,abs<=5%,0.0,0.020584516099832362,-0.01058951054781987,1.9438590676006686
